Task,Due Date,COO,CTO,CFO,CMO
Read Course Syllabus & Schedule,1/22,X,,,,
Review Meet the Professor,1/22,X,,,,
Read Preface/Ch1 of Textbooks,1/22,,X,,,
Watch Gerber Video,1/29,,,X,,
Student Introductions (DB1),1/29,X,,,,
Schedule Prof Intro Office Visit,3/26,X,,,,
Read Gerber Part 2,2/5,,X,,,
Submit CS1 Gerber,2/5,,X,,,
Watch “The Founder”,2/4,,,X,,
DB2: Biz of Biz is Biz,2/5,X,,,,
Assign ENT Interview,4/16,X,,,,
Read Polk Ch 2 & 3,2/12,,X,,,
DB3: Focus on Founder,2/12,X,,,,
Submit CS2,2/12,,X,,,
Meet Prof Office Visit,3/26,X,,,,
Read Polk Ch 4 & 5,2/19,,X,,,
Submit CS3,2/19,,X,,,
Pitch Night #2,2/20,X,X,X,X
DB4: Focus on Maxwell Pt 1,2/26,X,,,,
BP: PART A (Ops/HR),3/5,X,X,,
Read Polk Ch 6 & 7,3/5,,X,,,
Read Aulet Themes 1 & 3,3/5,,X,,,
DB5: Maxwell Pt 2,3/12,X,,,,
Discovery Interview Qs,3/12,X,X,,X
Read Aulet Themes 2-4,3/19,,X,,,
DB6: Maxwell Finale,3/19,X,,,,
BP: PART B (Marketing),3/19,,,,X
DB7: Focus on Aulet,3/26,X,,,,
Conduct 5 Interviews,3/26,X,X,,X
DB8: Social Entrepreneurship,4/2,X,,,,
CS4 Due,4/2,,X,,,
Read Polk Ch 8-10,4/16,,X,,,
DB9: Focus on CS4,4/16,X,,,,
Entrepreneur Interview,4/16,X,,,,
CS5 Due,4/21,,X,,,
BP: PART C,4/23,X,,X,X
Read Polk Ch 11 & 12,4/30,,X,,,
DB10: Interview AHA,4/30,X,,,,
Make Video Presentation,4/30,X,X,X,X
BP: TOTAL PLAN,5/7,X,X,X,X
Make-up CS,5/5,,X,,,
BP Presentations,5/8,X,X,X,X
OCA Assessment,5/15,X,X,X,X
